weekday,hour,avg_vol,freq
1,15,280.56967948717937,5m
1,16,239.14900641025662,5m
1,17,210.08440705128203,5m
1,18,192.52932692307704,5m
1,19,199.29966346153844,5m
1,20,187.7455608974359,5m
1,21,162.8720833333329,5m
1,22,152.97945512820507,5m
1,23,127.62932692307709,5m
2,0,152.81407051282056,5m
2,1,168.74961538461514,5m
2,2,144.8850480769231,5m
2,3,127.82479166666641,5m
2,4,121.8587980769231,5m
2,5,108.12201923076947,5m
2,6,112.57432692307738,5m
2,7,123.11232371794875,5m
2,8,125.87371794871807,5m
2,9,117.02596153846159,5m
2,10,121.3898397435898,5m
2,11,123.17461538461546,5m
2,12,163.9340865384613,5m
2,13,211.76105769230796,5m
2,14,265.2912019230767,5m
2,15,237.61347756410245,5m
2,16,215.1717147435897,5m
2,17,185.79758012820508,5m
2,18,214.23842948717962,5m
2,19,221.07411858974353,5m
2,20,212.84761217948696,5m
2,21,168.23844551282076,5m
2,22,143.04350961538455,5m
2,23,126.09883012820515,5m
3,0,157.08817307692289,5m
3,1,165.02495192307694,5m
3,2,162.8359935897438,5m
3,3,135.20432692307702,5m
3,4,117.59568910256404,5m
3,5,107.25334935897433,5m
3,6,114.13496794871809,5m
3,7,114.32318910256407,5m
3,8,129.60937500000028,5m
3,9,114.22689102564108,5m
3,10,120.75801282051268,5m
3,11,127.4870032051285,5m
3,12,170.69451923076934,5m
3,13,211.99240384615345,5m
3,14,277.73855769230784,5m
3,15,263.4863942307691,5m
3,16,208.1891346153849,5m
3,17,192.70975961538497,5m
3,18,192.8364102564104,5m
3,19,191.31363782051295,5m
3,20,204.2130769230771,5m
3,21,163.15456730769233,5m
3,22,165.09200320512792,5m
3,23,127.35012820512794,5m
4,0,156.6686217948716,5m
4,1,172.21971153846133,5m
4,2,162.25862179487217,5m
4,3,129.31237179487164,5m
4,4,118.94445512820526,5m
4,5,114.55764423076947,5m
4,6,122.54988782051255,5m
4,7,129.9548397435897,5m
4,8,130.65602564102548,5m
4,9,129.5146153846156,5m
4,10,117.50564102564142,5m
4,11,118.94514423076926,5m
4,12,163.0335096153846,5m
4,13,220.73969551282107,5m
4,14,276.5367628205129,5m
4,15,267.28384615384624,5m
4,16,225.46330128205148,5m
4,17,199.96342948717984,5m
4,18,202.4297756410259,5m
4,19,181.10791666666677,5m
4,20,166.86719551282067,5m
4,21,145.7175641025644,5m
4,22,116.66461538461539,5m
4,23,106.0507532051283,5m
5,0,111.16299679487155,5m
5,1,111.38669871794868,5m
5,2,90.85697115384639,5m
5,3,81.9990384615382,5m
5,4,77.04589743589713,5m
5,5,74.78762820512804,5m
5,6,72.72530448717937,5m
5,7,70.93746794871767,5m
5,8,71.45711538461552,5m
5,9,71.23451923076934,5m
5,10,73.19695512820489,5m
5,11,73.85241987179488,5m
5,12,78.74788461538458,5m
5,13,90.33536858974361,5m
5,14,91.25209935897412,5m
5,15,95.6620993589744,5m
5,16,105.18991987179484,5m
5,17,101.05041666666679,5m
5,18,87.10048076923061,5m
5,19,82.57669871794903,5m
5,20,108.90889423076932,5m
5,21,88.79634615384619,5m
5,22,89.04567307692297,5m
5,23,87.206490384615,5m
6,0,89.62201923076884,5m
6,1,88.16463141025648,5m
6,2,92.25439102564071,5m
6,3,88.05189102564111,5m
6,4,84.40889423076929,5m
6,5,73.98370192307715,5m
6,6,64.35230769230729,5m
6,7,70.86230769230772,5m
6,8,75.87785256410235,5m
6,9,82.05578525641008,5m
6,10,79.43536858974373,5m
6,11,90.15535256410267,5m
6,12,97.1514903846154,5m
6,13,108.3901602564102,5m
6,14,135.3573557692307,5m
6,15,130.74812500000016,5m
6,16,138.911394230769,5m
6,17,132.58910256410238,5m
6,18,122.5540865384613,5m
6,19,107.65814102564092,5m
6,20,109.56464743589734,5m
6,21,135.97875000000013,5m
6,22,182.77762820512805,5m
6,23,179.12908653846162,5m
0,0,78.48449056603769,1m
0,1,80.77311949685529,1m
