index,volatility,freq,price_level
75%,2.599999999999966,5m,3f-4
max,27.30000000000001,5m,3f-4
count,189634.0,1m,3f-6
mean,0.6005593933577318,1m,3f-6
std,0.5500109030553739,1m,3f-6
min,0.009999999999990905,1m,3f-6
25%,0.2899999999999636,1m,3f-6
50%,0.4700000000000273,1m,3f-6
75%,0.7599999999999909,1m,3f-6
max,32.52999999999997,1m,3f-6
count,281886.0,1m,3f-5
mean,0.4924793001426107,1m,3f-5
std,0.4584201145511692,1m,3f-5
min,0.0,1m,3f-5
25%,0.20000000000004547,1m,3f-5
50%,0.39999999999997726,1m,3f-5
75%,0.6000000000000227,1m,3f-5
max,35.81000000000006,1m,3f-5
count,44678.0,1m,3f-7
mean,0.6466448811495599,1m,3f-7
std,0.6446271103976974,1m,3f-7
min,0.009999999999990905,1m,3f-7
25%,0.2899999999999636,1m,3f-7
50%,0.4800000000000182,1m,3f-7
75%,0.7900000000000773,1m,3f-7
max,21.58000000000004,1m,3f-7
count,10822.0,1m,3f-4
mean,0.8891609683977081,1m,3f-4
std,0.8438177125981409,1m,3f-4
min,0.0999999999999659,1m,3f-4
25%,0.4000000000000341,1m,3f-4
50%,0.6999999999999886,1m,3f-4
75%,1.1000000000000227,1m,3f-4
max,21.400000000000034,1m,3f-4
