index,volatility,freq,price_level
75%,1.2000000000000455,1m,3f-5
max,36.10000000000002,1m,3f-5
count,176290.0,1m,3f-4
mean,0.5887378750921775,1m,3f-4
std,0.6049335153174386,1m,3f-4
min,0.0,1m,3f-4
25%,0.20000000000004547,1m,3f-4
50%,0.4000000000000341,1m,3f-4
75%,0.7999999999999545,1m,3f-4
max,43.19999999999999,1m,3f-4
count,275750.0,1m,3f-3
mean,0.38595067996373517,1m,3f-3
std,0.4058354320890148,1m,3f-3
min,0.0,1m,3f-3
25%,0.19999999999998863,1m,3f-3
50%,0.30000000000001137,1m,3f-3
75%,0.5,1m,3f-3
max,23.900000000000034,1m,3f-3
count,7865.0,1m,3f-2
mean,0.6106675143038774,1m,3f-2
std,0.7399182507178815,1m,3f-2
min,0.0,1m,3f-2
25%,0.20000000000004547,1m,3f-2
50%,0.4000000000000341,1m,3f-2
75%,0.7999999999999545,1m,3f-2
max,23.099999999999966,1m,3f-2
