index,volatility,freq,price_level
min,12.319999999999709,1h,4位-4
25%,25.554999999999836,1h,4位-4
50%,33.070000000000164,1h,4位-4
75%,37.19999999999982,1h,4位-4
max,83.51000000000022,1h,4位-4
count,373.0,1h,4位-1
mean,19.96284182305631,1h,4位-1
std,16.302101041091145,1h,4位-1
min,5.039999999999964,1h,4位-1
25%,11.180000000000064,1h,4位-1
50%,15.549999999999955,1h,4位-1
75%,21.809999999999945,1h,4位-1
max,136.18000000000006,1h,4位-1
count,9380.0,30m,4位-3
mean,22.320394456289975,30m,4位-3
std,16.371730370348303,30m,4位-3
min,2.1599999999998545,30m,4位-3
25%,12.360000000000127,30m,4位-3
50%,18.1400000000001,30m,4位-3
75%,27.15000000000009,30m,4位-3
max,293.4499999999998,30m,4位-3
count,7308.0,30m,4位-2
mean,18.384204980842906,30m,4位-2
std,17.290649565684436,30m,4位-2
min,1.7999999999997272,30m,4位-2
25%,9.190000000000055,30m,4位-2
50%,13.889999999999873,30m,4位-2
75%,21.98249999999996,30m,4位-2
max,438.55999999999995,30m,4位-2
count,73.0,30m,4位-4
mean,24.073561643835564,30m,4位-4
std,12.473921949618564,30m,4位-4
min,7.2199999999998,30m,4位-4
25%,16.40000000000009,30m,4位-4
50%,20.48999999999978,30m,4位-4
75%,27.800000000000182,30m,4位-4
max,66.60000000000036,30m,4位-4
count,746.0,30m,4位-1
mean,13.807305630026814,30m,4位-1
std,11.306447829857245,30m,4位-1
min,2.730000000000018,30m,4位-1
25%,7.672499999999843,30m,4位-1
50%,10.68500000000006,30m,4位-1
75%,15.497500000000002,30m,4位-1
max,105.51999999999998,30m,4位-1
count,18751.0,15m,4位-3
mean,15.437490267185744,15m,4位-3
std,11.72872293381673,15m,4位-3
min,1.3299999999999272,15m,4位-3
25%,8.430000000000291,15m,4位-3
50%,12.480000000000018,15m,4位-3
75%,18.980000000000018,15m,4位-3
max,293.4499999999998,15m,4位-3
count,14620.0,15m,4位-2
mean,12.69775034199726,15m,4位-2
std,12.381465741137024,15m,4位-2
min,1.0499999999997272,15m,4位-2
25%,6.349999999999909,15m,4位-2
50%,9.519999999999982,15m,4位-2
75%,15.230000000000018,15m,4位-2
max,438.55999999999995,15m,4位-2
count,152.0,15m,4位-4
mean,16.765657894736805,15m,4位-4
std,8.418913874282511,15m,4位-4
min,5.209999999999582,15m,4位-4
25%,11.129999999999882,15m,4位-4
50%,14.86999999999989,15m,4位-4
75%,19.449999999999704,15m,4位-4
max,51.40000000000009,15m,4位-4
count,1491.0,15m,4位-1
mean,9.600764587525152,15m,4位-1
std,8.26726513653895,15m,4位-1
min,1.6900000000000546,15m,4位-1
25%,5.130000000000109,15m,4位-1
50%,7.370000000000118,15m,4位-1
75%,11.009999999999991,15m,4位-1
max,98.49000000000001,15m,4位-1
count,56253.0,5m,4位-3
mean,8.409950402645185,5m,4位-3
std,6.867544785042012,5m,4位-3
min,0.009999999999763531,5m,4位-3
25%,4.389999999999873,5m,4位-3
50%,6.730000000000018,5m,4位-3
