index,volatility,freq,price_level
min,25.84999999999127,30m,5f-8
25%,271.1900000000023,30m,5f-8
50%,412.8899999999994,30m,5f-8
75%,677.7100000000064,30m,5f-8
max,4704.37000000001,30m,5f-8
count,3713.0,30m,5f-9
mean,490.37699703743624,30m,5f-9
std,375.7200062459162,30m,5f-9
min,54.05999999999767,30m,5f-9
25%,258.95999999999185,30m,5f-9
50%,399.06999999999243,30m,5f-9
75%,600.0,30m,5f-9
max,8540.0,30m,5f-9
count,1271.0,30m,6f-1
mean,580.1024390243902,30m,6f-1
std,497.1845534676256,30m,6f-1
min,78.0,30m,6f-1
25%,301.72499999999127,30m,6f-1
50%,450.90000000000873,30m,6f-1
75%,697.1699999999983,30m,6f-1
max,6981.970000000001,30m,6f-1
count,1575.0,15m,5f-7
mean,264.84859682539724,15m,5f-7
std,199.73005182535607,15m,5f-7
min,34.44000000000233,15m,5f-7
25%,139.84999999999854,15m,5f-7
50%,210.0,15m,5f-7
75%,314.36499999999796,15m,5f-7
max,1929.949999999997,15m,5f-7
count,15624.0,15m,5f-6
mean,205.9173137480798,15m,5f-6
std,160.23381097741765,15m,5f-6
min,0.010000000002037268,15m,5f-6
25%,106.53750000000036,15m,5f-6
50%,165.87000000000262,15m,5f-6
75%,256.2350000000024,15m,5f-6
max,4193.330000000002,15m,5f-6
count,4362.0,15m,5f-5
mean,254.85999770747355,15m,5f-5
std,213.52781307392698,15m,5f-5
min,17.010000000002037,15m,5f-5
25%,129.6424999999981,15m,5f-5
50%,196.97499999999854,15m,5f-5
75%,309.6399999999976,15m,5f-5
max,3993.8300000000017,15m,5f-5
count,3.0,15m,5f-4
mean,1028.9433333333363,15m,5f-4
std,368.6028028017841,15m,5f-4
min,642.8900000000067,15m,5f-4
25%,854.8250000000044,15m,5f-4
50%,1066.760000000002,15m,5f-4
75%,1221.9700000000012,15m,5f-4
max,1377.1800000000003,15m,5f-4
count,3474.0,15m,5f-8
mean,377.423696027634,15m,5f-8
std,303.1460279414021,15m,5f-8
min,11.360000000000582,15m,5f-8
25%,185.14750000000276,15m,5f-8
50%,288.3799999999901,15m,5f-8
75%,471.37499999999636,15m,5f-8
max,3841.350000000006,15m,5f-8
count,7422.0,15m,5f-9
mean,340.7822648881705,15m,5f-9
std,264.35581561563623,15m,5f-9
min,20.94999999999709,15m,5f-9
25%,177.1624999999949,15m,5f-9
50%,275.99000000000524,15m,5f-9
75%,424.88249999999243,15m,5f-9
max,8199.839999999997,15m,5f-9
count,2553.0,15m,6f-1
mean,398.8322483352919,15m,6f-1
std,355.4152408875159,15m,6f-1
min,43.779999999998836,15m,6f-1
25%,207.3399999999965,15m,6f-1
50%,311.15000000000873,15m,6f-1
75%,469.56999999999243,15m,6f-1
max,5377.040000000008,15m,6f-1
count,4741.0,5m,5f-7
mean,146.12530267875997,5m,5f-7
std,120.46730639340123,5m,5f-7
min,0.00999999999476131,5m,5f-7
25%,70.60000000000582,5m,5f-7
50%,111.5,5m,5f-7
75%,180.31000000001222,5m,5f-7
max,1454.679999999993,5m,5f-7
count,46855.0,5m,5f-6
mean,109.99250261444872,5m,5f-6
std,94.66065912036245,5m,5f-6
min,0.00999999999476131,5m,5f-6
25%,52.650000000001455,5m,5f-6
50%,86.22000000000116,5m,5f-6
75%,138.5500000000029,5m,5f-6
max,3559.040000000001,5m,5f-6
count,13089.0,5m,5f-5
mean,136.80132477652987,5m,5f-5
std,122.16370491546458,5m,5f-5
min,0.010000000002037268,5m,5f-5
25%,65.83999999999651,5m,5f-5
50%,104.76000000000204,5m,5f-5
75%,167.91999999999825,5m,5f-5
max,2544.4400000000023,5m,5f-5
count,5.0,5m,5f-4
mean,875.4800000000002,5m,5f-4
std,706.6290624507315,5m,5f-4
min,423.7900000000009,5m,5f-4
25%,538.3899999999994,5m,5f-4
50%,543.9700000000012,5m,5f-4
75%,749.25,5m,5f-4
max,2122.0,5m,5f-4
count,10428.0,5m,5f-8
mean,206.3689384349829,5m,5f-8
std,175.9225754520784,5m,5f-8
min,0.00999999999476131,5m,5f-8
25%,96.08999999999651,5m,5f-8
50%,155.46500000000378,5m,5f-8
75%,259.8524999999936,5m,5f-8
max,2213.8800000000047,5m,5f-8
count,22277.0,5m,5f-9
mean,186.41944651434235,5m,5f-9
std,156.45555696109906,5m,5f-9
min,0.00999999999476131,5m,5f-9
25%,90.02000000000407,5m,5f-9
50%,148.0,5m,5f-9
75%,238.1600000000035,5m,5f-9
max,7607.990000000005,5m,5f-9
count,7643.0,5m,6f-1
mean,218.38944131885384,5m,6f-1
std,205.11111615771156,5m,6f-1
min,0.5800000000017462,5m,6f-1
25%,105.02500000000146,5m,6f-1
50%,165.02000000000407,5m,6f-1
75%,260.8950000000041,5m,6f-1
max,3893.5100000000093,5m,6f-1
count,23679.0,1m,5f-7
