win_rate,reward_risk_ratio,initial_bet_percentage,rebalance_gain_threshold,rebalance_save_ratio,final_balance_median,final_geo_return_median,final_mdd_median,performance_score
0.5,3,0.1,0.45,0.25,23710.625817218664,0.03184222765412248,0.19975359478663782,0.15940753250590567
0.5,3,0.08,0.3,0.25,10365.846065010839,0.02342375342403069,0.14730700724068468,0.15901316483715305
0.5,3,0.04,0.45,0.3,7583.78620096525,0.02026207486225773,0.1282143586260937,0.15803280599287003
0.5,3,0.12,0.6,0.3,44957.31687689763,0.03839923674603196,0.24320000000000003,0.15789159846230247
0.5,3,0.02,0.9,0.3,13921.502834079254,0.02641650022439812,0.16765497241600014,0.1575646689371741
0.5,3,0.06,0.3,0.25,7771.380093134785,0.020508939383997782,0.1305183104041161,0.1571345761410577
0.5,3,0.12,0.45,0.25,43391.74234749618,0.0380348906994562,0.24319999999999997,0.1563934650471061
0.5,3,0.06,0.45,0.3,7998.7134808579485,0.020800310478969797,0.13333504000000004,0.15600033178802653
0.5,3,0.1,0.6,0.3,24401.95278698826,0.0321358833765073,0.20800000000000005,0.15449943931013121
0.5,3,0.1,0.45,0.3,14622.66242539237,0.02691598792799854,0.17844537055833998,0.15083601128894947
0.5,3,0.04,0.2,0.25,4348.400981279891,0.01465896027795388,0.09759999999999998,0.15019426514297013
0.5,3,0.08,0.45,0.3,11448.163951323426,0.024430577821447752,0.16474164383561635,0.14829630961935308
0.5,3,0.02,0.3,0.3,4251.624085147289,0.014432875859139771,0.09759999999999995,0.14787782642561248
0.5,3,0.02,0.2,0.25,3821.5305609272123,0.013362260008567994,0.09038915611435029,0.1478303436273213
0.5,3,0.04,0.3,0.3,4208.961724761113,0.014331587769226939,0.0976,0.14684003861912848
0.5,3,0.06,0.3,0.3,5715.471129613819,0.017408975695178297,0.11896191015233774,0.14634075455652215
0.5,3,0.12,0.3,0.2,20181.648451924073,0.030197194248149817,0.208,0.14517881850072029
0.5,3,0.06,0.2,0.25,5154.0769218264195,0.016368037419078107,0.1130012544000002,0.14484828072030748
0.5,3,0.08,0.3,0.3,7057.9904603234845,0.019536510456493628,0.13520000000000004,0.14450081698589956
0.5,3,0.08,0.2,0.2,6987.1375728333005,0.01943466884836509,0.13519999999999996,0.143747550653588
0.5,3,0.12,0.45,0.3,23580.158695348204,0.031785859252336124,0.22167999999999988,0.14338622903435647
0.5,3,0.12,0.2,0.2,16347.306535173426,0.0280501928218162,0.208,0.13485669625873173
0.5,3,0.1,0.2,0.2,10025.383524075714,0.023085409331017992,0.172,0.13421749611056974
0.5,3,0.02,0.2,0.3,3086.030307452619,0.01121975753309623,0.08392723021354512,0.13368435374965418
0.45,3,0.08,0.2,0.0,22650.081194532977,0.031374838952244355,0.23634993905735818,0.13274739598993596
0.5,3,0.06,0.2,0.3,3813.9307765065178,0.013342287381070683,0.10161407665984354,0.13130353411303858
0.45,3,0.04,0.3,0.0,11513.041201558084,0.02448789729801537,0.18654667421327317,0.13126954635502694
0.45,3,0.06,0.2,0.0,15439.889409657339,0.02746906331320942,0.20937919815415953,0.13119289573830914
0.45,3,0.06,0.45,0.0,16971.45886059023,0.02843165896893307,0.21875942591442732,0.12996769784930207
0.45,3,0.04,0.2,0.0,10860.515228759905,0.02389623216354675,0.1843018729676801,0.12965810807434
0.45,3,0.04,0.3,0.15,6157.694228362795,0.018159976280178958,0.1404705529014128,0.12927959565250854
0.5,3,0.1,0.3,0.25,8500.83399863575,0.02141584211571168,0.16625999999999994,0.12880934750217543
0.45,3,0.06,0.45,0.15,9587.540518865208,0.022633165408489142,0.17611239867535197,0.12851545705314837
0.45,3,0.06,0.3,0.0,16274.249590337173,0.02800460268773919,0.21861487206399993,0.12810017188373526
0.45,3,0.08,0.3,0.0,25028.30123800321,0.032394911190371856,0.25368247394457105,0.1276986568549866
0.5,3,0.04,0.2,0.3,3404.20510440447,0.012202678858510452,0.0958183428223845,0.12735222191360773
0.45,3,0.02,0.2,0.0,8859.110045706664,0.021833413850376848,0.17222989567942648,0.1267690128026068
0.45,3,0.04,0.45,0.0,13249.280551622194,0.025913665543237485,0.20486249381232627,0.12649297126577447
0.45,3,0.06,0.3,0.15,8086.611353876188,0.020910775750871746,0.16552839508600536,0.1263274240048477
0.45,3,0.04,0.6,0.0,14262.089021681782,0.026662161128653272,0.21155498660083938,0.12602946192404943
0.45,3,0.04,0.2,0.15,5295.0502222949035,0.016639619332415423,0.13207979080135457,0.12598156940936625
0.45,3,0.02,0.3,0.15,5705.020420543802,0.017390539922939374,0.13809860024929874,0.1259284300604465
0.45,3,0.06,0.2,0.15,6471.562334178582,0.01866126781529609,0.1486885378826237,0.12550575909238876
0.45,3,0.04,0.6,0.15,9479.7047357544,0.022518644772590357,0.18048125758014302,0.12476999038302308
0.45,3,0.04,0.45,0.15,8264.446197297046,0.021130678831481453,0.16979199999999997,0.12445037947301084
0.45,3,0.06,0.6,0.0,18590.770326211103,0.02936003056670966,0.23634993905735815,0.12422271265991093
0.45,3,0.04,0.6,0.2,8249.8014766444,0.02111274766489679,0.17001300584720488,0.12418313269439732
0.45,3,0.08,0.45,0.0,25527.48609529805,0.032596795038955295,0.2629609645105398,0.12396058517517636
0.5,3,0.08,0.2,0.25,4502.06269550572,0.015007896998679993,0.12109456731703197,0.12393534517026289
0.45,3,0.02,0.3,0.0,9776.644312600056,0.02283094674976427,0.18430187296768,0.12387799636614658
0.45,3,0.06,0.45,0.2,7932.279548120058,0.02071601949637103,0.16765497241599997,0.12356340642834414
0.45,3,0.04,0.45,0.2,7091.243290976798,0.019583958467207507,0.1587364941983272,0.12337401406093224
0.45,3,0.06,0.6,0.15,11777.592036459982,0.024718365395827946,0.20061583550832646,0.12321243401945717
0.45,3,0.08,0.45,0.15,13188.321129618036,0.025866824228410135,0.21010797785928903,0.12311205167912925
0.45,3,0.08,0.6,0.0,25989.597761057754,0.0327802313364326,0.2667261599806216,0.12289844887660878
0.45,3,0.04,0.2,0.2,4275.466287110889,0.01448904406978857,0.11811335490946043,0.12267066735082684
0.45,3,0.04,0.3,0.2,5067.456832839535,0.01619749354022826,0.13217093469955163,0.12254958760069362
0.45,3,0.06,0.6,0.2,10066.43330065945,0.023126801815077758,0.1887852977658381,0.12250319325058531
0.45,3,0.06,0.3,0.2,6486.465520666819,0.018684467590615816,0.15258586877109212,0.12245214934448535
0.45,3,0.08,0.3,0.15,10679.591170263691,0.023725942949914036,0.19406205980066438,0.12225956466856387
0.45,3,0.08,0.6,0.15,14739.687242007192,0.026997037390220413,0.2213161887043189,0.12198401548604644
0.45,3,0.02,0.6,0.0,12095.466904783694,0.02498860201073594,0.20486249381232632,0.12197743738113377
0.45,3,0.02,0.2,0.15,4622.616099203832,0.015273493298139429,0.12536495345850895,0.121832241601672
0.45,3,0.06,0.45,0.25,6587.713294918886,0.01884069648262765,0.15500814662530282,0.12154649218644474
0.45,3,0.08,0.6,0.2,12127.200361295914,0.025015192660850505,0.2059294045371615,0.1214746029935532
0.45,3,0.08,0.45,0.2,10538.656821168577,0.02359130189983949,0.19434581320894262,0.12138826924188126
0.45,3,0.02,0.6,0.15,8449.015348805468,0.02135400920808872,0.17604480806748615,0.12129871617629721
0.45,3,0.04,0.9,0.0,16444.35611139253,0.02811044422156761,0.23227144842219655,0.12102410525495003
0.45,3,0.02,0.45,0.0,11180.596223527511,0.024190731245928188,0.2006158355083264,0.12058236172948655
