hour,vol,freq,holiday_filter_type
8,1.5567330677290836,30m,exclude
9,1.4944223107569725,30m,exclude
10,1.4586454183266937,30m,exclude
11,1.4568924302788842,30m,exclude
12,1.7602589641434268,30m,exclude
13,2.1907968127490043,30m,exclude
14,2.5978286852589645,30m,exclude
15,2.352669322709163,30m,exclude
16,2.104820717131473,30m,exclude
17,1.8683665338645414,30m,exclude
18,1.867589641434263,30m,exclude
19,1.7995418326693224,30m,exclude
20,1.8049800796812747,30m,exclude
21,1.684501992031872,30m,exclude
22,1.5702191235059761,30m,exclude
23,1.3518163672654693,30m,exclude
0,1.5253478260869566,30m,only
1,1.464173913043479,30m,only
2,1.42504347826087,30m,only
3,1.3646086956521741,30m,only
4,1.3536956521739139,30m,only
5,1.2913043478260877,30m,only
6,1.2310869565217386,30m,only
7,1.1654782608695657,30m,only
8,1.2279999999999993,30m,only
9,1.2538695652173921,30m,only
10,1.2830000000000006,30m,only
11,1.2360434782608702,30m,only
12,1.375869565217391,30m,only
13,1.468521739130435,30m,only
14,1.6036086956521736,30m,only
15,1.7056086956521732,30m,only
16,1.777043478260871,30m,only
17,1.6676086956521756,30m,only
18,1.417608695652174,30m,only
19,1.3329565217391297,30m,only
20,1.5299999999999987,30m,only
21,1.6097826086956535,30m,only
22,1.703260869565219,30m,only
23,1.542043478260869,30m,only
0,1.2388661202185793,15m,include
1,1.2614822404371584,15m,include
2,1.1571311475409833,15m,include
3,1.038155737704918,15m,include
4,1.0056489071038255,15m,include
5,0.9907650273224046,15m,include
6,1.0006693989071038,15m,include
7,0.9597950819672133,15m,include
8,1.0176297814207653,15m,include
9,0.9971926229508196,15m,include
10,0.9788524590163938,15m,include
11,0.9794262295081967,15m,include
12,1.1496311475409835,15m,include
13,1.3615846994535523,15m,include
14,1.5743169398907102,15m,include
15,1.4989890710382514,15m,include
16,1.3966803278688522,15m,include
17,1.2573975409836065,15m,include
18,1.2073565573770493,15m,include
19,1.1546516393442623,15m,include
20,1.1875819672131147,15m,include
21,1.149064207650273,15m,include
