hour,vol,freq,holiday_filter_type
22,0.4916394422310758,1m,exclude
23,0.4665066489361707,1m,exclude
0,0.4750043478260864,1m,only
1,0.48787391304347816,1m,only
2,0.4298434782608698,1m,only
3,0.4070130434782598,1m,only
4,0.3879536231884065,1m,only
5,0.38054927536231886,1m,only
6,0.3713681159420301,1m,only
7,0.41189855072463644,1m,only
8,0.41270144927536295,1m,only
9,0.4026289855072466,1m,only
10,0.4008536231884049,1m,only
11,0.41440434782608637,1m,only
12,0.43805942028985556,1m,only
13,0.46627101449275327,1m,only
14,0.5234710144927532,1m,only
15,0.5196594202898552,1m,only
16,0.5561840579710147,1m,only
17,0.539282608695652,1m,only
18,0.46499275362318915,1m,only
19,0.4336666666666655,1m,only
20,0.46550000000000075,1m,only
21,0.4157101449275364,1m,only
22,0.45900144927536135,1m,only
23,0.4739072463768125,1m,only
