hour,vol,freq,holiday_filter_type
8,0.019586301369863012,30m,include
9,0.018297260273972604,30m,include
10,0.018097260273972602,30m,include
11,0.017660273972602735,30m,include
12,0.021526027397260283,30m,include
13,0.02434931506849316,30m,include
14,0.027035616438356166,30m,include
15,0.02507945205479453,30m,include
16,0.024015068493150684,30m,include
17,0.022486301369863022,30m,include
18,0.021076923076923083,30m,include
19,0.018869505494505487,30m,include
20,0.01964835164835165,30m,include
21,0.018872252747252752,30m,include
22,0.018752747252747254,30m,include
23,0.01646840659340659,30m,include
0,0.02280600000000001,30m,exclude
1,0.02472,30m,exclude
2,0.02176999999999999,30m,exclude
3,0.018802000000000006,30m,exclude
4,0.018626000000000004,30m,exclude
5,0.017826000000000012,30m,exclude
6,0.019456,30m,exclude
7,0.01889400000000001,30m,exclude
8,0.02069,30m,exclude
9,0.019056,30m,exclude
10,0.018983999999999994,30m,exclude
11,0.01840999999999999,30m,exclude
12,0.023084000000000007,30m,exclude
13,0.026944000000000003,30m,exclude
14,0.030281999999999996,30m,exclude
15,0.027386000000000004,30m,exclude
16,0.025429999999999998,30m,exclude
17,0.023284000000000003,30m,exclude
18,0.022917670682730925,30m,exclude
19,0.020208835341365455,30m,exclude
20,0.020652610441767073,30m,exclude
21,0.019538152610441773,30m,exclude
22,0.019010040160642575,30m,exclude
23,0.016568273092369478,30m,exclude
0,0.019843478260869567,30m,only
1,0.0195608695652174,30m,only
2,0.017778260869565212,30m,only
3,0.016921739130434783,30m,only
4,0.01565217391304348,30m,only
5,0.01612173913043478,30m,only
6,0.015060869565217393,30m,only
7,0.014965217391304369,30m,only
8,0.017186956521739134,30m,only
9,0.016647826086956523,30m,only
10,0.016169565217391307,30m,only
11,0.0160304347826087,30m,only
12,0.01813913043478262,30m,only
13,0.018708695652173927,30m,only
14,0.019978260869565223,30m,only
15,0.020065217391304364,30m,only
16,0.020939130434782613,30m,only
17,0.020752173913043487,30m,only
18,0.017091304347826106,30m,only
19,0.0159695652173913,30m,only
20,0.017473913043478256,30m,only
21,0.017430434782608705,30m,only
22,0.018195652173913036,30m,only
23,0.016252173913043472,30m,only
