hour,vol,freq,holiday_filter_type
23,2.2528112449799194,15m,exclude
0,2.622608695652173,15m,only
1,2.686521739130434,15m,only
2,2.4091304347826084,15m,only
3,2.1378260869565238,15m,only
4,1.970000000000002,15m,only
5,1.9704347826086959,15m,only
6,1.8178260869565228,15m,only
7,1.8956521739130416,15m,only
8,1.9289130434782609,15m,only
9,2.003260869565215,15m,only
10,1.962173913043478,15m,only
11,1.9473913043478246,15m,only
12,2.376304347826087,15m,only
13,2.3758695652173905,15m,only
14,2.498695652173912,15m,only
15,2.4752173913043487,15m,only
16,2.67695652173913,15m,only
17,2.5426086956521763,15m,only
18,2.09695652173913,15m,only
19,1.9460869565217382,15m,only
20,2.1132608695652166,15m,only
21,2.1021739130434804,15m,only
22,2.4534782608695656,15m,only
23,2.2619565217391293,15m,only
0,1.6765296803652967,5m,include
1,1.6706621004566211,5m,include
2,1.504041095890411,5m,include
3,1.3342009132420094,5m,include
4,1.2642465753424665,5m,include
5,1.243721461187215,5m,include
6,1.2482876712328765,5m,include
7,1.282602739726027,5m,include
8,1.3066438356164385,5m,include
9,1.2973744292237432,5m,include
10,1.2554109589041091,5m,include
11,1.2309360730593604,5m,include
12,1.4721689497716894,5m,include
13,1.7232648401826485,5m,include
14,1.9145433789954336,5m,include
15,1.7635844748858447,5m,include
16,1.6934703196347034,5m,include
17,1.5218514285714282,5m,include
18,1.4230769230769225,5m,include
19,1.3298076923076918,5m,include
20,1.3749313186813181,5m,include
21,1.2745879120879118,5m,include
22,1.3127289377289377,5m,include
23,1.224862637362637,5m,include
0,1.7855000000000003,5m,exclude
1,1.7799999999999998,5m,exclude
2,1.6078666666666661,5m,exclude
3,1.411466666666667,5m,exclude
4,1.3537666666666672,5m,exclude
5,1.3327333333333338,5m,exclude
6,1.3677999999999992,5m,exclude
7,1.3978999999999993,5m,exclude
8,1.4251,5m,exclude
9,1.3906666666666654,5m,exclude
10,1.339233333333333,5m,exclude
11,1.313633333333333,5m,exclude
12,1.5772333333333335,5m,exclude
13,1.9255333333333335,5m,exclude
14,2.171566666666667,5m,exclude
15,1.9543,5m,exclude
16,1.8014000000000003,5m,exclude
17,1.5890818030050078,5m,exclude
18,1.5385542168674686,5m,exclude
19,1.4488286479250332,5m,exclude
20,1.484370816599732,5m,exclude
21,1.3503681392235602,5m,exclude
22,1.3161646586345384,5m,exclude
23,1.2174029451137882,5m,exclude
0,1.43963768115942,5m,only
1,1.4329710144927539,5m,only
2,1.278333333333334,5m,only
3,1.166231884057971,5m,only
4,1.0696376811594215,5m,only
5,1.0502173913043478,5m,only
6,0.9884782608695661,5m,only
7,1.03195652173913,5m,only
8,1.049130434782609,5m,only
