hour,vol,freq,holiday_filter_type
8,52.35728866666664,1m,exclude
9,48.953046666666616,1m,exclude
10,47.79887266666667,1m,exclude
11,48.609814,1m,exclude
12,62.83551999999992,1m,exclude
13,86.09760533333336,1m,exclude
14,114.2615366666667,1m,exclude
15,107.31619066666674,1m,exclude
16,89.75978266666671,1m,exclude
17,80.10569306930698,1m,exclude
18,80.24464190093715,1m,exclude
19,79.55942302543517,1m,exclude
20,75.10152811244978,1m,exclude
21,60.714354752342615,1m,exclude
22,55.387125167335945,1m,exclude
23,47.13814658634532,1m,exclude
0,40.428910144927364,1m,only
1,40.41213913043476,1m,only
2,35.59294347826065,1m,only
3,32.31027826086949,1m,only
4,29.43052173913027,1m,only
5,27.54521159420271,1m,only
6,27.077250724637338,1m,only
7,27.928220289854842,1m,only
8,28.031663768115724,1m,only
9,29.07007391304318,1m,only
10,29.61485072463761,1m,only
11,31.176152173912847,1m,only
12,35.61152898550714,1m,only
13,39.468865217391276,1m,only
14,45.66590724637658,1m,only
15,47.01329855072455,1m,only
16,49.45046521739115,1m,only
17,49.84092028985494,1m,only
18,41.375268115941765,1m,only
19,37.828055072463656,1m,only
20,42.046473913043336,1m,only
21,41.40886811594192,1m,only
22,49.7257565217391,1m,only
23,52.398737681159325,1m,only
