statistic,freq,include_holiday,value
50%,15m,False,0.01200000000000001
75%,15m,False,0.018000000000000016
max,15m,False,0.5509999999999997
count,15m,Only Holidays,11040.0
mean,15m,Only Holidays,0.012383695652173916
std,15m,Only Holidays,0.010030240827825209
min,15m,Only Holidays,0.0010000000000000009
25%,15m,Only Holidays,0.006000000000000227
50%,15m,Only Holidays,0.009999999999999787
75%,15m,Only Holidays,0.015000000000000124
max,15m,Only Holidays,0.31299999999999994
count,5m,True,105044.0
mean,5m,True,0.00781800959597883
std,5m,True,0.006763488015549414
min,5m,True,0.0
25%,5m,True,0.0040000000000000036
50%,5m,True,0.006000000000000005
75%,5m,True,0.009999999999999787
max,5m,True,0.3679999999999999
count,5m,False,71924.0
mean,5m,False,0.00827139758634114
std,5m,False,0.007096440812197982
min,5m,False,0.0
25%,5m,False,0.0040000000000000036
50%,5m,False,0.006000000000000227
75%,5m,False,0.010000000000000009
max,5m,False,0.3679999999999999
count,5m,Only Holidays,33120.0
mean,5m,Only Holidays,0.006833423913043479
std,5m,Only Holidays,0.005857368466561419
min,5m,Only Holidays,0.0
25%,5m,Only Holidays,0.0030000000000001137
50%,5m,Only Holidays,0.0050000000000001155
75%,5m,Only Holidays,0.008000000000000007
max,5m,Only Holidays,0.31299999999999994
count,1m,True,525221.0
mean,1m,True,0.0030928713817612026
std,1m,True,0.003029669339981427
min,1m,True,0.0
25%,1m,True,0.001000000000000112
50%,1m,True,0.0020000000000000018
75%,1m,True,0.0040000000000000036
max,1m,True,0.3679999999999999
count,1m,False,359621.0
mean,1m,False,0.0032862318941329896
std,1m,False,0.0031886985691798025
min,1m,False,0.0
25%,1m,False,0.0019999999999997797
50%,1m,False,0.0029999999999996696
75%,1m,False,0.0040000000000000036
max,1m,False,0.3679999999999999
count,1m,Only Holidays,165600.0
mean,1m,Only Holidays,0.002672964975845411
std,1m,Only Holidays,0.002602672514087434
min,1m,Only Holidays,0.0
25%,1m,Only Holidays,0.001000000000000112
50%,1m,Only Holidays,0.0020000000000000018
75%,1m,Only Holidays,0.0030000000000001137
max,1m,Only Holidays,0.1359999999999999
